Vendor ID,Vendor Name,Vendor Type,Location,Event types,Price range,Rating,Availability
1,Haccleton,Stage setup,Indore,baby Shower,1013608,2,TRUE
2,Winyard,Bakery,Udaipur,Exhibition,3381101,4,TRUE
3,Tennock,Florist,Mumbai,Anniversary,1469581,2.7,TRUE
4,Tuther,Bartender,Chennai,baby Shower,592530,2.5,TRUE
5,Sifflett,Makeup Artist,Mumbai,Wedding,1890027,4.1,TRUE
6,Duffer,Photography,Mumbai,Exhibition,296781,2.7,TRUE
7,Hodgin,Security,Mumbai,Anniversary,3825299,2.9,TRUE
8,Abernethy,Bakery,Surat,Exhibition,510755,3.5,TRUE
9,O'Grada,Bakery,Chennai,baby Shower,529850,4.7,TRUE
10,Di Ruggiero,Invitation Designer,Surat,Anniversary,2801557,3.6,TRUE
11,Verny,Catering,Mumbai,baby Shower,3828073,2.6,TRUE
12,Barnfield,DJ,Bhopal,College Fest,551112,2.5,TRUE
13,Kivelle,Florist,Hyderbad,Engagement,1527395,4.6,TRUE
14,Tollett,Decorator,Mumbai,Exhibition,2630753,3.3,TRUE
15,Tinklin,Sound & Lights,Guwahati,Engagement,3970562,2.1,TRUE
16,Lightman,Bartender,Lucknow,Festival Celebration,3721140,1.2,TRUE
17,Vivash,Bakery,Mumbai,baby Shower,1348570,3.4,TRUE
18,Aldiss,Anchor,Jaipur,Music Concert,1888316,1.6,TRUE
19,Mayling,Makeup Artist,Udaipur,Cultural Event,3601844,1.5,TRUE
20,Macconaghy,Decorator,Mumbai,Anniversary,3857562,2.7,TRUE
21,Schurig,Florist,Navi Mumbai,baby Shower,2684498,3.3,TRUE
22,Brumfield,Decorator,Mumbai,Award ceremony,1911563,3.4,TRUE
23,Ellor,Bartender,Mumbai,Award ceremony,3224541,4.9,TRUE
24,Gearty,Mehndi Artist,Mumbai,Award ceremony,334597,2,TRUE
25,Michin,Mehndi Artist,Mumbai,Exhibition,866351,3.8,TRUE
26,Smerdon,Invitation Designer,Navi Mumbai,Award ceremony,2327442,3.7,TRUE
27,Cobon,Decorator,Navi Mumbai,Sports Event,3932438,2.8,TRUE
28,Sandes,Invitation Designer,Lucknow,Fashion Show,524269,1.4,TRUE
29,Scoullar,Decorator,Navi Mumbai,College Fest,2692049,3.7,TRUE
30,Saynor,Stage setup,Navi Mumbai,Music Concert,433657,4.6,TRUE
31,Selburn,Decorator,Mumbai,Anniversary,2431381,2.6,TRUE
32,Leavesley,Mehndi Artist,Ahmedabad,Wedding,193600,3.3,TRUE
33,Bilt,DJ,Thiruvananthapuram,Cultural Event,1733449,3.5,TRUE
34,Guerro,Invitation Designer,Mumbai,Birthday,680993,2.7,TRUE
35,Van Bruggen,Security,Navi Mumbai,Sports Event,3683454,4.6,TRUE
36,Scanderet,DJ,Mumbai,College Fest,1270648,1.1,TRUE
37,Kinnach,Anchor,Navi Mumbai,Award ceremony,486172,4.8,TRUE
38,Vawton,Invitation Designer,Kolkata,Engagement,2809306,4.8,TRUE
39,Ponder,DJ,Mumbai,Wedding,2002940,4.4,TRUE
40,Simonian,Florist,Vapi,Music Concert,1683620,1.3,TRUE
41,Kinnerley,Security,Pune,Exhibition,1902670,1.1,TRUE
42,Earie,Live Band,Navi Mumbai,Cultural Event,1173836,2,TRUE
43,Lanfare,Mehndi Artist,Surat,Fashion Show,3800624,4.4,TRUE
44,Eastcott,Florist,Kolkata,Festival Celebration,1477251,2,TRUE
45,Muggach,Security,Thiruvananthapuram,Anniversary,2934430,1.1,TRUE
46,Pau,Event Planner,Bengaluru,Wedding,2948776,1.2,TRUE
47,Tregien,Security,Guwahati,College Fest,1225211,2.4,TRUE
48,Howbrook,Stage setup,Chandigarh,Anniversary,743801,1.8,TRUE
49,Haughian,Decorator,Bhopal,Sports Event,1301824,1.8,TRUE
50,Crichten,Photography,Mumbai,baby Shower,3381129,3.5,TRUE
